Epoch,Loss,psnr,ssim,nqm
1,6299.2579957452435,32.70475387573242,0.8952271342277527,34.07912826538086
2,446.47838880233184,33.12816619873047,0.897720217704773,35.409603118896484
3,422.80655943892384,32.99665069580078,0.8991379737854004,35.10384750366211
4,413.4556904334148,33.64817810058594,0.9071418046951294,35.92548370361328
5,405.7992804141445,33.38612365722656,0.9042689204216003,35.1262321472168
6,402.1206051193121,33.59844970703125,0.9054843783378601,36.174461364746094
7,397.197114108719,33.42090606689453,0.9048967957496643,35.25098419189453
8,393.3103466004816,33.41049575805664,0.9047994613647461,35.38412094116211
9,391.98148559104396,33.81108474731445,0.9091277122497559,35.785194396972656
10,390.3375461258051,33.56785583496094,0.9068491458892822,35.93572235107422
11,388.64693100325024,33.80220031738281,0.9102356433868408,35.838890075683594
12,385.2976131526568,33.55241775512695,0.9075422883033752,35.49706268310547
13,386.701601590455,33.480926513671875,0.9041565656661987,35.463436126708984
14,385.96358540076335,32.93181610107422,0.8981750011444092,35.90810012817383
15,385.54000956993974,33.482704162597656,0.906014084815979,35.48054122924805
16,383.27549520012076,33.39924621582031,0.9053612351417542,35.72531509399414
17,383.232828271298,33.705299377441406,0.908290684223175,36.493873596191406
18,382.1119944798127,33.46201705932617,0.9054635167121887,35.86798858642578
19,379.87353322269354,33.51187515258789,0.9055699110031128,36.00918960571289
20,379.3452075754413,33.3709602355957,0.9044854044914246,35.69770050048828
21,380.13620218757455,33.675628662109375,0.9082562327384949,36.325809478759766
22,377.1960246311799,33.59354019165039,0.9084920287132263,35.88890075683594
23,377.9023601735821,33.6563606262207,0.9085135459899902,36.11839294433594
24,378.77536017730944,33.53152847290039,0.9075488448143005,35.799808502197266
25,375.7553599466804,33.61906433105469,0.9082780480384827,36.068145751953125
26,356.47857064982406,33.87989807128906,0.9113423824310303,36.35945129394531
27,354.3166458828759,33.91839599609375,0.9114464521408081,36.532588958740234
28,353.25736300635884,33.90532684326172,0.9117099642753601,36.44415283203125
29,352.3559423781533,33.844139099121094,0.9112212657928467,36.13822555541992
30,352.09295940835966,33.93199920654297,0.9121376872062683,36.35305404663086
31,351.63912924264224,33.91814041137695,0.9121298789978027,36.34458541870117
32,351.5646590254689,33.86561965942383,0.9112265110015869,36.227317810058594
33,351.08749774030144,33.85581588745117,0.9120497703552246,36.22184753417969
34,351.0296220269822,33.963844299316406,0.9126006364822388,36.49434280395508
35,350.32096414347643,33.913936614990234,0.9123865365982056,36.242225646972656
